HPA_heart HPA_brain HPA_kidney AltIso_heart AltIso_brain GTEx_heart GTEx_brain GTEx_kidney Atlas_heart Atlas_brain Atlas_kidney
ENSG00000005981 1.5 0.4 0.2 0.62 0.32 0.415475636720657 1.04422032833099 0.455001264810562 0.127 0.394 0.058
ENSG00000006007 67.7 49.1 39.1 25.76 20.15 25.8627338409424 17.4000453948975 13.3354091644287 7.337 8.024 4.911
ENSG00000006016 10.4 12.7 3.2 4.81 10.56 2.4385142326355 0.357288539409637 2.84604048728943 0.31 0.084 0.062
ENSG00000006025 4.6 7.2 5.3 0.32 1.45 3.98503613471985 7.56188011169434 4.89048194885254 0.02 0.135 0.081
ENSG00000006042 22 27.1 29.9 4.06 19.97 8.31128406524658 20.783899307251 12.7284479141235 1.061 1.51 1.584
ENSG00000006047 0.6 0.9 1.6 0.3 1.23 0.379884719848633 0.0925352647900581 1.32063591480255 0.306 0.287 0.199
ENSG00000006071 3.1 10.2 1.2 0.12 3.33 0.382471352815628 4.34984874725342 0.166203513741493 0.019 0.54 0
ENSG00000006074 3.8 1.4 0.3 19.03 0 0.539914190769196 0.0607849210500717 0.0184016097337008 0.387 0.049 0
ENSG00000006075 2.1 28.9 6.7 0 0 0.41887640953064 0.310331255197525 0.469737708568573 0.07 0 0
ENSG00000006114 11.3 11.7 14.3 2.52 6.93 2.19057703018188 3.54972219467163 5.21030855178833 17.512 30.934 25.379
ENSG00000006116 0 24.1 0 0 36.85 0 1.94812917709351 0.0157796181738377 0 11.91 0.048
ENSG00000006118 2.9 44.2 3.4 1.01 28.77 0.785430371761322 3.92020916938782 1.11360740661621 0.222 2.067 0.084
ENSG00000006128 0.3 44.6 1.9 0 4.14 0.0339384861290455 127.019493103027 1.30765795707703 0.262 3.848 0.163
ENSG00000006194 9.6 17.2 14 2.83 3.67 1.04171669483185 0.701052784919739 1.25130939483643 2.477 3.788 2.865
ENSG00000006210 12.7 52.6 23.3 8.26 45.5 10.216498374939 16.7273406982422 25.3816223144531 0.934 4.318 1.648
ENSG00000006282 39.7 15.9 26.6 19.61 12.65 30.390043258667 18.4857139587402 22.1341686248779 1.33 3.139 1.614
ENSG00000006283 0.4 5 0 0.07 3.83 0.0627996623516083 1.98110401630402 0.0100375860929489 0.222 4.53 0
ENSG00000006327 51.4 4.6 19.5 18.08 2.02 26.1880874633789 1.55794990062714 63.8559761047363 2.095 0.661 0.826
ENSG00000006432 0.5 5.7 1.8 0.17 5.89 0.245675101876259 2.76597189903259 1.53083825111389 0.083 1.8 0.354
ENSG00000006451 12.7 25.2 16 4.91 10.53 7.53798341751099 13.8176155090332 7.88081932067871 6.078 9.222 4.473
ENSG00000006453 1.8 0.5 5.8 1.01 0.12 0.966661751270294 0.440499365329742 4.96742725372314 0.377 0.176 1.22
ENSG00000006459 4 5.2 4.5 1.81 0.82 3.81729984283447 1.42209196090698 1.30194818973541 1.954 1.205 1.416
ENSG00000006468 36.3 55.4 3.4 9.18 8.15 5.24815082550049 2.94726085662842 0.269109129905701 16.106 30.184 2.898
ENSG00000006534 2.4 1.7 18.2 1.72 0 0.690668284893036 1.41303610801697 3.74232196807861 1.725 0.693 3.767
ENSG00000006555 0 0.2 5.9 0.09 0.29 0.0663096383213997 0.154105320572853 8.4496431350708 0 0.036 0.387
ENSG00000006607 5.4 11.4 10.3 1.76 2.4 1.18035900592804 1.44566559791565 2.2874550819397 1.497 2.645 2.403
ENSG00000006625 19.2 30.4 34.2 9.01 26.31 4.39810705184937 8.26421356201172 11.1752605438232 9.697 16.359 16.297
ENSG00000006634 1.4 1.5 1.6 0.2 0.45 0.613774001598358 1.02486968040466 0.852766811847687 0.243 0.204 0.233
ENSG00000006638 1.7 0.3 2 1.07 0.82 1.17209124565125 0.990132868289948 3.6437873840332 0.825 0.369 0.896
