ENSG_ID	Atlas_heart	Atlas_brain	Atlas_kidney
484	ENSG00000102048	0.033	0.022	0.6
485		4.209	3.958	2.879
486	ENSG00000101440	2.809	0.065	0.063
487		0.042	0.085	0.014
488	ENSG00000198356	1.384	3.108	2.607
489		7.67	12.369	6.261
490		11.565	5.389	4.234
491		15.141	14.043	10.825
492		12.367	10.395	8.998
493		14.532	13.523	10.371
494	ENSG00000128203	0.039	1.167	0.196
495		1.938	3.581	2.732
496		2.505	1.952	32.275
497	ENSG00000141431	0.259	0.982	0.684
498		0.006	0	0.006
499		6.414	10.48	6.513
500		13.405	4.688	4.4
501	ENSG00000128272	5.67	4.816	2.742
502		5.803	6.942	5.275
503		0.167	0.345	0.308
504		0.328	0.798	0.506
505		0.216	0.2	0.46
506		3.069	3.037	3.807
507		0.49	13.963	0.764
508		3.549	4.216	5.509
509		4.633	4.065	4.329
510	ENSG00000179774	0	0.334	0.176
511	ENSG00000168874	0.363	0.103	0.082
512		12.962	25.105	26.731
513		0.182	0.181	0.368
514	ENSG00000075673	0	0.043	0.671
515		0.415	1	0.657
516		0.222	1.733	0.321
517		0.206	1.685	0.312
518		0.205	1.678	0.311
519		16.058	77.224	0.435
520		0.637	0.01	0.024
521		0.005	0.087	0.08
522		0.005	0.086	0.1
523		0.006	8.088	0.021
524		0.006	3.199	0.012
525		24.767	21.499	4.225
526		10.763	15.981	11.647
527		10.671	15.843	11.547
528		9.809	13.038	10.334
529	ENSG00000186009	0	0	0.062
530		1.521	1.25	1.094
531		1.356	1.114	0.976
532	ENSG00000154518	4.274	7.782	5.937
533		418.458	178.173	99.931
534		13.106	10.487	14.233
535		207.43	73.655	97.61
536		129.892	54.155	47.342
537		3.341	3.124	3.309
538		3.069	3.071	3.136
539		3.713	3.479	3.318
540		3.253	3.017	2.909
541	ENSG00000205464	0.123	0.55	0.049
542		1.762	1.327	2.098
543		0	0.187	15.509
544		0.638	2.595	1.506
545		0.01	0.02	2.916
546	ENSG00000143882	0.102	0.049	1.895
547		0	0.12	7.598
548		0.048	7.342	0.089
549		0.823	0.175	0.269
550		1.429	0.886	0.605
551		16.226	11.507	6.834
552		1.285	1.001	2.15
553		0.338	1.256	0.269
554		0	0	0
555		0.637	0.749	0.519
556		0.617	0.725	0.51
557		0.48	14.862	0.76
558		23.967	28.683	18.28
559		24.233	29.247	18.505
560		4.855	8.334	4.108
561	ENSG00000224470	2.081	2.093	3.359
562		0.697	0.68	0.797
563		0.692	0.681	0.827
564		0.692	0.691	0.788
565		1.091	1.348	1.126
566		1.083	1.345	1.154
567		1.074	1.348	1.141
568		1.639	2.313	1.541
569		1.464	1.522	1.518
570		1.82	2.116	1.819
571		1.803	2.119	1.802
572		2.338	3.005	2.17
573		1.805	2.112	1.801
574		0	0.438	0
575		0.685	2.359	1.091
576	ENSG00000167766	8.483	5.966	15.425
577	ENSG00000175756	8.173	8.026	7.649
578		0.392	0.215	0.015
579	ENSG00000105146	1.339	1.429	0.649
580	ENSG00000169857	3.555	1.386	1.041
581	ENSG00000167601	2.739	2.584	0.892
582		12.225	14.698	12.416
583		9.889	15.004	9.328
584		0	0	0
585	ENSG00000183778	0	0.187	0
586	ENSG00000183778	0	0.172	0
587	ENSG00000176022	0.14	0.57	0.525
588	ENSG00000109956	0.032	15.526	0.226
