ENSG_ID	HPA_heart	HPA_brain	HPA_kidney
296	ENSG00000011376	7.1	8.8	12.7
297	ENSG00000011405	12.1	16.3	24.9
298	ENSG00000011422	5.9	4.3	4
299	ENSG00000011426	1.2	56.6	0.6
300	ENSG00000011451	8	9.4	10.1
301	ENSG00000011454	23.9	37.1	21.7
302	ENSG00000011465	821.9	45.9	262.9
303	ENSG00000011478	2.2	2.4	2.9
304	ENSG00000011485	44.2	32.7	27.4
305	ENSG00000011523	11	18.2	7.2
306	ENSG00000011566	16.3	16.3	21.7
307	ENSG00000011590	0.1	0.1	0.1
308	ENSG00000011600	31.7	28.2	19.9
309	ENSG00000011638	87.5	4.5	20.4
310	ENSG00000011677	0	17.2	0.1
311	ENSG00000012048	2.3	2.4	1.7
312	ENSG00000012061	71.6	27.5	26.5
313	ENSG00000012124	1.4	13.6	0.9
314	ENSG00000012174	6.3	9	7.8
315	ENSG00000012211	4.7	0.6	2.5
316	ENSG00000012223	2.4	2.8	8.7
317	ENSG00000012232	27	19.4	8.6
318	ENSG00000012504	0.1	0.1	24.7
319	ENSG00000012660	21.1	55.8	29.3
320	ENSG00000012779	3.8	4.3	3.4
321	ENSG00000012817	4.8	6.7	4.1
322	ENSG00000012822	105.2	61.6	55.4
323	ENSG00000012963	16.9	22.8	14.3
324	ENSG00000012983	8.9	23.7	12.6
325	ENSG00000013016	13.2	37.8	22.7
326	ENSG00000013275	50.7	42.3	53.1
327	ENSG00000013288	13.4	10.4	12.7
328	ENSG00000013293	0	13.9	0.1
329	ENSG00000013297	3.9	91.8	4.7
330	ENSG00000013306	38.9	23.5	88.7
331	ENSG00000013364	28.1	16.6	70.4
332	ENSG00000013374	34	29.4	36.2
333	ENSG00000013375	9.6	13.5	12.6
334	ENSG00000013392	4.3	8.1	5
335	ENSG00000013441	44.6	41.9	47.1
336	ENSG00000013503	3.7	5	5.6
337	ENSG00000013523	12.8	19.4	9.3
338	ENSG00000013561	46.7	33.7	43.9
339	ENSG00000013563	31.4	6.5	20.6
340	ENSG00000013573	5.4	7.5	5.4
341	ENSG00000013583	37.2	18.7	50.8
342	ENSG00000013588	0.6	1.3	6.4
343	ENSG00000013619	1.5	7.4	1.3
344	ENSG00000013725	0.7	0.6	0.7
345	ENSG00000013810	3	2.4	2.2
346	ENSG00000014123	18.5	16.1	19.6
347	ENSG00000014138	4.2	4	5
348	ENSG00000014164	3	3.7	4.9
349	ENSG00000014216	42.5	26.4	41.8
350	ENSG00000014257	0.2	0.9	21.3
351	ENSG00000014641	872.7	237.9	213.2
352	ENSG00000014824	44.3	47.2	69.4
353	ENSG00000014914	4.4	4	13.1
354	ENSG00000014919	20.1	18.1	27.3
355	ENSG00000015133	4.6	3.2	8.1
356	ENSG00000015153	49.2	27.5	11.2
357	ENSG00000015171	48.5	60.1	45.8
358	ENSG00000015285	3.5	4.9	3.2
359	ENSG00000015413	0.4	0.3	298.8
360	ENSG00000015475	7.7	17.6	6.4
361	ENSG00000015479	120.5	219	129.6
362	ENSG00000015520	0	0	0.7
363	ENSG00000015532	6.5	4.9	7.7
364	ENSG00000015568	8.9	10.8	6.5
365	ENSG00000015592	0	155.4	0.1
366	ENSG00000015676	43.8	74.9	32.9
367	ENSG00000016082	0	0	0
368	ENSG00000016391	1.4	5.9	43.5
369	ENSG00000016402	1.2	0.8	0.4
370	ENSG00000016490	0	0.1	0.7
371	ENSG00000016602	0.1	3.9	0.3
372	ENSG00000016864	31	35.8	45.2
373	ENSG00000017260	29.9	53.9	40.5
374	ENSG00000017373	0.4	21.9	0.6
375	ENSG00000017427	13.7	1.7	1.5
376	ENSG00000017483	2.4	18.8	1.9
377	ENSG00000017621	3.4	2.4	5.9
378	ENSG00000017797	21	22.7	42.4
379	ENSG00000018189	10.4	83.4	24.4
380	ENSG00000018236	0.5	129.4	10.2
381	ENSG00000018280	1.3	7	0.8
382	ENSG00000018408	22.2	16.1	48.2
383	ENSG00000018510	6.3	8.5	11.5
384	ENSG00000018610	6.9	8.7	8
385	ENSG00000018625	70	233.2	3.8
386	ENSG00000018699	12.6	4.1	6.3
387	ENSG00000018869	4.1	2.9	3
388	ENSG00000019102	0.9	0.3	2.3
389	ENSG00000019144	62.7	66.6	32
390	ENSG00000019169	3.2	1.2	0.1
391	ENSG00000019186	0	0.7	11.9
